Date,USD_per_Gold_oz,USD_per_Bitcoin,Gold_oz_per_Bitcoin
2015-01-02,1186.0,315.0320129394531,0.2656256432879031
2015-01-05,1203.9000244140625,274.4739990234375,0.227987368932087
2015-01-06,1219.300048828125,286.1889953613281,0.2347158073489669
2015-01-07,1210.5999755859375,294.3370056152344,0.2431331666538102
2015-01-08,1208.4000244140625,283.3489990234375,0.234482781611023
2015-01-09,1216.0,290.4079895019531,0.2388223597877904
2015-01-12,1232.699951171875,267.7959899902344,0.2172434498238214
2015-01-13,1234.300048828125,225.86099243164065,0.1829871048340949
2015-01-14,1234.4000244140625,178.10299682617188,0.1442830470703471
2015-01-15,1264.699951171875,209.843994140625,0.1659239363029807
2015-01-16,1276.9000244140625,208.0970001220703,0.1629704723496742
2015-01-20,1294.199951171875,211.31500244140625,0.1632784812347306
2015-01-21,1293.699951171875,226.89700317382807,0.1753861109512275
2015-01-22,1300.699951171875,233.406005859375,0.1794464631516947
2015-01-23,1292.5999755859375,232.8789978027344,0.1801632385898584
2015-01-26,1279.4000244140625,273.4729919433594,0.2137509666443879
2015-01-27,1291.699951171875,263.4750061035156,0.2039753937162279
2015-01-28,1285.9000244140625,233.9149932861328,0.1819076046699037
2015-01-29,1254.5999755859375,233.51300048828125,0.1861254623245336
2015-01-30,1278.5,226.4250030517578,0.1771020751284769
2015-02-02,1276.199951171875,238.22900390625,0.1866705947508424
2015-02-03,1259.699951171875,227.2680053710937,0.180414395634191
2015-02-04,1263.800048828125,226.85299682617188,0.1795007026914774
2015-02-05,1262.0,217.11099243164065,0.172037236475151
2015-02-06,1233.9000244140625,222.26600646972656,0.180132913584529
2015-02-09,1240.800048828125,220.1100006103516,0.1773936105323615
2015-02-10,1231.5999755859375,219.8390045166016,0.1784987080825594
2015-02-11,1219.0,219.1849975585937,0.1798072170291991
2015-02-12,1220.0999755859375,221.7640075683593,0.1817588820636276
2015-02-13,1226.5,235.427001953125,0.1919502665740929
2015-02-17,1208.0999755859375,243.6100006103516,0.201647219214783
2015-02-18,1199.699951171875,236.3260040283203,0.1969875916036134
2015-02-19,1207.0999755859375,240.2830047607422,0.1990580810376593
2015-02-20,1204.4000244140625,243.7790069580078,0.2024070093128781
2015-02-23,1200.300048828125,238.8919982910156,0.1990269004189829
2015-02-24,1196.9000244140625,238.7350006103516,0.1994611043033634
2015-02-25,1201.0,237.47000122070312,0.1977268952711932
2015-02-26,1209.5999755859375,236.42599487304688,0.195458002351993
2015-02-27,1212.5999755859375,253.8280029296875,0.2093254230910205
2015-03-02,1207.699951171875,275.6700134277344,0.2282603498991962
2015-03-03,1204.0,281.7019958496094,0.2339717573501739
2015-03-04,1200.5999755859375,273.0920104980469,0.2274629485685003
2015-03-05,1195.9000244140625,276.1780090332031,0.230937372184199
2015-03-06,1164.0999755859375,272.7229919433594,0.2342779809836239
2015-03-09,1166.4000244140625,289.60699462890625,0.2482913139292752
2015-03-10,1160.0999755859375,291.760009765625,0.2514955744381119
2015-03-11,1150.699951171875,296.3789978027344,0.2575641004424319
2015-03-12,1152.0999755859375,294.35400390625,0.2554934555541039
2015-03-13,1152.5999755859375,285.3370056152344,0.2475594409675221
2015-03-16,1153.300048828125,290.5929870605469,0.2519665089373924
2015-03-17,1148.300048828125,285.5050048828125,0.248632755153306
2015-03-18,1151.4000244140625,256.29901123046875,0.2225977121729671
2015-03-19,1169.0999755859375,260.9280090332031,0.2231870793619933
2015-03-20,1184.800048828125,261.7489929199219,0.220922503488091
2015-03-23,1188.0,266.739990234375,0.2245286113083964
2015-03-24,1191.699951171875,245.59500122070312,0.2060879510645224
2015-03-25,1197.300048828125,246.197006225586,0.205626823841321
2015-03-26,1205.0999755859375,248.5319976806641,0.2062335098462051
2015-03-27,1199.800048828125,247.0290069580078,0.205891812722701
2015-03-30,1184.800048828125,247.5260009765625,0.2089179530515619
2015-03-31,1183.0999755859375,244.2239990234375,0.206427186259119
2015-04-01,1208.0999755859375,247.27200317382807,0.2046784274239384
2015-04-02,1200.9000244140625,253.0050048828125,0.2106794901651014
2015-04-06,1218.5999755859375,255.49200439453125,0.2096602736855328
2015-04-07,1210.5999755859375,253.17999267578125,0.2091359638044273
2015-04-08,1203.0999755859375,245.02200317382807,0.2036588879943221
2015-04-09,1193.5999755859375,243.67599487304688,0.2041521446525051
2015-04-10,1204.5999755859375,236.072006225586,0.1959754366678918
2015-04-13,1199.300048828125,224.5870056152344,0.1872650683493973
2015-04-14,1192.800048828125,219.15899658203125,0.18373489906992
2015-04-15,1201.5,223.8329925537109,0.186294625512868
2015-04-16,1198.0,228.572998046875,0.1907954908571577
